CY,Code,Year,Country,Bud,Christ,Folk,Hindu,Jew,Mus,Other,Un
MLI_2010,MLI,2010,Mali,0,0.024120603,0.027135678,0,0,0.948743719,0,0
MLT_2010,MLT,2010,Malta,0,0.974874372,0,0,0,0,0,0.025125628
MHL_2010,MHL,2010,Marshall Islands,0,0.984848485,0,0,0,0,0,0.015151515
MTQ_2010,MTQ,2010,Martinique,0,0.976720648,0,0,0,0,0,0.023279352
MRT_2010,MRT,2010,Mauritania,0,0,0,0,0,1,0,0
MUS_2010,MUS,2010,Mauritius,0,0.331979695,0,0.492385787,0,0.175634518,0,0
MYT_2010,MYT,2010,Mayotte,0,0,0,0,0,1,0,0
MEX_2010,MEX,2010,Mexico,0,0.952905812,0,0,0,0,0,0.047094188
FSM_2010,FSM,2010,Federated States of Micronesia,0,0.97244898,0.02755102,0,0,0,0,0
MDA_2010,MDA,2010,Moldova,0,0.98582996,0,0,0,0,0,0.01417004
MCO_2010,MCO,2010,Monaco,0,0.865191147,0,0,0.017102616,0,0,0.117706237
MNG_2010,MNG,2010,Mongolia,0.551,0.023,0.035,0,0,0.032,0,0.359
MNE_2010,MNE,2010,Montenegro,0,0.781,0,0,0,0.187,0,0.032
MSR_2010,MSR,2010,Montserrat,0,0.936873747,0,0,0,0,0.01503006,0.048096192
MAR_2010,MAR,2010,Morocco,0,0,0,0,0,1,0,0
MOZ_2010,MOZ,2010,Mozambique,0,0.567,0.074,0,0,0.18,0,0.179
MMR_2010,MMR,2010,Burma (Myanmar),0.80583501,0.078470825,0.058350101,0.017102616,0,0.040241449,0,0
NAM_2010,NAM,2010,Namibia,0,0.980885312,0,0,0,0,0,0.019114688
NRU_2010,NRU,2010,Nauru,0.010989011,0.789210789,0.080919081,0,0,0,0.073926074,0.044955045
NPL_2010,NPL,2010,Nepal,0.103726083,0,0.037260826,0.812688822,0,0.04632427,0,0
NLD_2010,NLD,2010,Netherlands,0,0.51266464,0,0,0,0.060790274,0,0.426545086
NCL_2010,NCL,2010,New Caledonia,0,0.865853659,0,0,0,0.028455285,0,0.105691057
NZL_2010,NZL,2010,New Zealand,0.016243655,0.578680203,0,0.021319797,0,0.012182741,0,0.371573604
NIC_2010,NIC,2010,Nicaragua,0,0.860581745,0.014042126,0,0,0,0,0.125376128
NER_2010,NER,2010,Niger,0,0,0,0,0,1,0,0
NGA_2010,NGA,2010,Nigeria,0,0.495477387,0.014070352,0,0,0.490452261,0,0
NIU_2010,NIU,2010,Niue,0,0.966900702,0,0,0,0,0,0.033099298
PRK_2010,PRK,2010,North Korea,0.015,0.02,0.123,0,0,0,0.129,0.713
MNP_2010,MNP,2010,Northern Mariana Islands,0.106747231,0.818731118,0.053373615,0,0,0,0.011077543,0.010070493
NOR_2010,NOR,2010,Norway,0,0.859898477,0,0,0,0.037563452,0,0.102538071
OMN_2010,OMN,2010,Oman,0,0.065722952,0,0.055611729,0,0.868554095,0.010111223,0
PAK_2010,PAK,2010,Pakistan,0,0.016016016,0,0.019019019,0,0.964964965,0,0
PLW_2010,PLW,2010,Palau,0,0.881993896,0,0,0,0,0.105798576,0.012207528
PSE_2010,PSE,2010,Palestinian territories,0,0.024,0,0,0,0.976,0,0
PAN_2010,PAN,2010,Panama,0,0.950920245,0,0,0,0,0,0.049079755
PNG_2010,PNG,2010,Papua New Guinea,0,1,0,0,0,0,0,0
PRY_2010,PRY,2010,Paraguay,0,0.971915747,0.017051153,0,0,0,0,0.011033099
PER_2010,PER,2010,Peru,0,0.969543147,0,0,0,0,0,0.030456853
PHL_2010,PHL,2010,Philippines,0,0.929718876,0.015060241,0,0,0.055220884,0,0
POL_2010,POL,2010,Poland,0,0.943943944,0,0,0,0,0,0.056056056
PRT_2010,PRT,2010,Portugal,0,0.924547284,0,0,0,0,0,0.075452716
PRI_2010,PRI,2010,Puerto Rico,0,0.980730223,0,0,0,0,0,0.019269777
QAT_2010,QAT,2010,Qatar,0.031504065,0.140243902,0,0.140243902,0,0.68800813,0,0
REU_2010,REU,2010,Reunion,0,0.881287726,0,0.04527163,0,0.042253521,0.011066398,0.020120724
ROU_2010,ROU,2010,Romania,0,1,0,0,0,0,0,0
RUS_2010,RUS,2010,Russia,0,0.736683417,0,0,0,0.100502513,0,0.16281407
RWA_2010,RWA,2010,Rwanda,0,0.94534413,0,0,0,0.018218623,0,0.036437247
SHN_2010,SHN,2010,St. Helena,0,0.966933868,0,0,0,0,0,0.033066132
KNA_2010,KNA,2010,St. Kitts and Nevis,0,0.955555556,0.013131313,0.015151515,0,0,0,0.016161616
LCA_2010,LCA,2010,St. Lucia,0,0.919273461,0,0,0,0,0.020181635,0.060544904
SPM_2010,SPM,2010,St. Pierre and Miquelon,0,0.948897796,0,0,0,0,0.013026052,0.038076152
VCT_2010,VCT,2010,St. Vincent and the Grenadines,0,0.886113886,0.01998002,0.033966034,0,0.014985015,0.01998002,0.024975025
WSM_2010,WSM,2010,Samoa,0,0.974823766,0,0,0,0,0,0.025176234
SMR_2010,SMR,2010,San Marino,0,0.927125506,0,0,0,0,0,0.072874494
STP_2010,STP,2010,Sao Tome and Principe,0,0.821178821,0.028971029,0,0,0,0.023976024,0.125874126
SAU_2010,SAU,2010,Saudi Arabia,0,0.044670051,0,0.011167513,0,0.944162437,0,0
SEN_2010,SEN,2010,Senegal,0,0.036,0,0,0,0.964,0,0
SRB_2010,SRB,2010,Serbia,0,0.926,0,0,0,0.041,0,0.033
SYC_2010,SYC,2010,Seychelles,0,0.946626385,0,0.021148036,0,0.011077543,0,0.021148036
SLE_2010,SLE,2010,Sierra Leone,0,0.21132457,0,0,0,0.78867543,0,0
SGP_2010,SGP,2010,Singapore,0.339,0.182,0.023,0.052,0,0.143,0.097,0.164
SVK_2010,SVK,2010,Slovakia,0,0.856425703,0,0,0,0,0,0.143574297
SVN_2010,SVN,2010,Slovenia,0,0.784,0,0,0,0.036,0,0.18
SLB_2010,SLB,2010,Solomon Islands,0,0.986828774,0.013171226,0,0,0,0,0
SOM_2010,SOM,2010,Somalia,0,0,0,0,0,1,0,0
ZAF_2010,ZAF,2010,South Africa,0,0.821031345,0,0.011122346,0,0.01718908,0,0.15065723
KOR_2010,KOR,2010,South Korea,0.232016211,0.29787234,0,0,0,0,0,0.470111449
ESP_2010,ESP,2010,Spain,0,0.788365095,0,0,0,0.02106319,0,0.190571715
LKA_2010,LKA,2010,Sri Lanka,0.693,0.073,0,0.136,0,0.098,0,0
SDN_2010,SDN,2010,Sudan,0,0.054054054,0.028028028,0,0,0.907907908,0,0.01001001
SUR_2010,SUR,2010,Suriname,0,0.520686176,0.053481332,0.199798184,0,0.153380424,0.018163471,0.054490414
SWZ_2010,SWZ,2010,Swaziland,0,0.888104839,0.010080645,0,0,0,0,0.101814516
SWE_2010,SWE,2010,Sweden,0,0.680161943,0,0,0,0.046558704,0,0.273279352
CHE_2010,CHE,2010,Switzerland,0,0.738071066,0,0,0,0.049746193,0,0.212182741
SYR_2010,SYR,2010,Syria,0,0.052,0,0,0,0.928,0,0.02
TWN_2010,TWN,2010,Taiwan,0.213213213,0.055055055,0.442442442,0,0,0,0.162162162,0.127127127
TJK_2010,TJK,2010,Tajikistan,0,0.016032064,0,0,0,0.968937876,0,0.01503006
TZA_2010,TZA,2010,Tanzania,0,0.615230461,0.018036072,0,0,0.352705411,0,0.014028056
THA_2010,THA,2010,Thailand,0.944275583,0,0,0,0,0.055724417,0,0
TLS_2010,TLS,2010,Timor-Leste,0,1,0,0,0,0,0,0
TGO_2010,TGO,2010,Togo,0,0.43919598,0.357788945,0,0,0.140703518,0,0.062311558
TKL_2010,TKL,2010,Tokelau,0,1,0,0,0,0,0,0
TON_2010,TON,2010,Tonga,0,1,0,0,0,0,0,0
TTO_2010,TTO,2010,Trinidad and Tobago,0,0.660982949,0.019057172,0.227683049,0,0.059177533,0.014042126,0.019057172
TUN_2010,TUN,2010,Tunisia,0,0,0,0,0,1,0,0
TUR_2010,TUR,2010,Turkey,0,0,0,0,0,0.987903226,0,0.012096774
TKM_2010,TKM,2010,Turkmenistan,0,0.064386318,0,0,0,0.935613682,0,0
TCA_2010,TCA,2010,Turks and Caicos Islands,0,0.926559356,0.027162978,0,0,0,0,0.046277666
TUV_2010,TUV,2010,Tuvalu,0,0.967967968,0,0,0,0,0.019019019,0.013013013
UGA_2010,UGA,2010,Uganda,0,0.882892057,0,0,0,0.117107943,0,0
UKR_2010,UKR,2010,Ukraine,0,0.840521565,0,0,0,0.012036108,0,0.147442327
ARE_2010,ARE,2010,United Arab Emirates,0.02016129,0.127016129,0,0.066532258,0,0.775201613,0,0.01108871
GBR_2010,GBR,2010,United Kingdom,0,0.654120041,0,0.014242116,0,0.048830112,0,0.282807731
USA_2010,USA,2010,United States,0.012282497,0.801432958,0,0,0.018423746,0,0,0.167860798
